rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0079.jpg,31.6,0.8193,0.7936,0.875,0.8,11,7,False,True
2,frame_0031.jpg,12.4,0.817,0.784,0.75,1.0,13,6,False,True
3,frame_0002.jpg,0.8,0.8082,0.7664,0.75,1.0,11,6,False,True
4,frame_0124.jpg,49.6,0.7742,0.8265,0.75,0.68,12,6,False,True
5,frame_0068.jpg,27.2,0.7563,0.7376,0.625,1.0,13,5,False,True
6,frame_0328.jpg,131.2,0.7492,0.8665,1.0,0.08,16,8,False,True
7,frame_0291.jpg,116.4,0.7284,0.8207,0.5,0.84,9,4,False,True
8,frame_0074.jpg,29.6,0.7265,0.753,0.5,1.0,11,4,False,True
9,frame_0067.jpg,26.8,0.7151,0.6553,0.625,1.0,17,5,False,False
10,frame_0021.jpg,8.4,0.7099,0.5698,0.75,1.0,8,6,False,True
11,frame_0377.jpg,150.8,0.7074,0.9168,0.75,0.12,14,6,False,True
12,frame_0070.jpg,28.0,0.7003,0.6256,0.625,1.0,17,5,False,False
13,frame_0297.jpg,118.8,0.6779,0.7408,0.625,0.6,8,5,False,True
14,frame_0284.jpg,113.6,0.6777,0.8315,0.5,0.56,11,4,False,True
15,frame_0073.jpg,29.2,0.6746,0.7243,0.375,1.0,10,3,False,False
16,frame_0379.jpg,151.6,0.6736,0.7313,1.0,0.04,20,8,False,False
17,frame_0069.jpg,27.6,0.6675,0.71,0.375,1.0,12,3,False,False
18,frame_0007.jpg,2.8,0.6672,0.7094,0.375,1.0,7,3,False,False
19,frame_0078.jpg,31.2,0.6613,0.6865,0.5,0.84,12,4,False,False
20,frame_0333.jpg,133.2,0.6606,0.7642,0.875,0.08,12,7,False,False
21,frame_0283.jpg,113.2,0.6604,0.7378,0.625,0.52,10,5,False,False
22,frame_0000.jpg,0.0,0.6603,0.6206,0.5,1.0,11,4,False,False
23,frame_0114.jpg,45.6,0.6552,0.7483,0.75,0.28,12,6,False,False
24,frame_0385.jpg,154.0,0.6546,0.6292,1.0,0.2,15,8,False,False
25,frame_0076.jpg,30.4,0.6543,0.5656,0.625,0.92,10,5,False,False
26,frame_0186.jpg,74.4,0.649,0.8321,0.75,0.04,12,6,False,False
27,frame_0077.jpg,30.8,0.6439,0.7107,0.375,0.88,7,3,False,False
28,frame_0278.jpg,111.2,0.6439,0.7847,0.625,0.32,8,5,False,False
29,frame_0169.jpg,67.6,0.6426,0.7022,0.625,0.52,12,5,False,False
30,frame_0071.jpg,28.4,0.6421,0.6592,0.375,1.0,11,3,False,False
31,frame_0367.jpg,146.8,0.6386,0.7202,0.875,0.08,16,7,False,False
32,frame_0276.jpg,110.4,0.6364,0.8768,0.5,0.24,15,4,False,False
33,frame_0081.jpg,32.4,0.6345,0.531,0.75,0.72,13,6,False,False
34,frame_0374.jpg,149.6,0.6337,0.8124,0.625,0.2,12,5,False,False
35,frame_0127.jpg,50.8,0.6314,0.7928,0.25,0.8,9,2,False,False
36,frame_0387.jpg,154.8,0.6305,0.656,0.875,0.2,18,7,False,False
37,frame_0287.jpg,114.8,0.627,0.6819,0.5,0.68,10,4,False,False
38,frame_0029.jpg,11.6,0.626,0.627,0.375,1.0,12,3,False,False
39,frame_0330.jpg,132.0,0.625,0.9339,0.5,0.04,14,4,False,False
40,frame_0389.jpg,155.6,0.6229,0.7477,0.75,0.12,17,6,False,False
41,frame_0176.jpg,70.4,0.6228,0.6995,0.75,0.24,14,6,False,False
